rank,accuracy,class_1_overprediction_ratio,class_8_accuracy,total_x_to_1_errors,confidence,margin,disagreement,anti1_boost,mean_weight_wide,mean_weight_anti1,mean_weight_raw
1,0.7902857065200806,1.150259017944336,0.7673715949058533,106,0.75,0.0,-1.0,0.0,0.6822735667228699,0.21169142425060272,0.10603497177362442
2,0.7899999618530273,1.1424870491027832,0.7673715949058533,105,0.75,0.0,-1.0,0.25,0.6775596141815186,0.21711111068725586,0.10532920807600021
3,0.7899999618530273,1.150259017944336,0.7703927755355835,104,-1.0,0.75,-1.0,0.0,0.675251305103302,0.2164764553308487,0.10827223211526871
4,0.7897142767906189,1.152849793434143,0.7613292932510376,108,2.5,-1.0,-1.0,0.0,0.6855738759040833,0.20942598581314087,0.10500012338161469
5,0.7894285917282104,1.1709845066070557,0.7643504738807678,115,5.0,1.5,0.0,0.0,0.6996723413467407,0.19973762333393097,0.10058997571468353
6,0.7894285917282104,1.1450777053833008,0.7613292932510376,107,2.5,-1.0,-1.0,0.25,0.6809622049331665,0.21472248435020447,0.1043153926730156
7,0.7894285917282104,1.1554404497146606,0.7583081722259521,109,5.0,-1.0,0.5,0.0,0.720434844493866,0.18636175990104675,0.0932033583521843
8,0.7891428470611572,1.1683937311172485,0.7643504738807678,114,5.0,0.0,0.0,0.0,0.7075878977775574,0.19476203620433807,0.09765002131462097
9,0.7891428470611572,1.1295336484909058,0.7643504738807678,99,0.0,0.0,0.0,0.0,0.7000004053115845,0.19999991357326508,0.09999995678663254
10,0.7891428470611572,1.1424870491027832,0.7703927755355835,104,-1.0,0.75,-1.0,0.25,0.6703881621360779,0.2221025824546814,0.10750924050807953
11,0.7891428470611572,1.165803074836731,0.7643504738807678,114,5.0,1.5,0.0,0.25,0.6965038776397705,0.2036101371049881,0.09988591820001602
12,0.7891428470611572,1.1347150802612305,0.7643504738807678,101,0.0,2.5,1.75,0.25,0.7357051968574524,0.17807982861995697,0.08621492981910706
13,0.7891428470611572,1.1606217622756958,0.7613292932510376,109,0.0,1.5,-1.0,0.0,0.6877719163894653,0.2079356461763382,0.10429240763187408
14,0.7891428470611572,1.1321243047714233,0.7673715949058533,104,0.75,0.0,-1.0,0.5,0.6722188591957092,0.2232493758201599,0.10453175753355026
15,0.7888571619987488,1.1321243047714233,0.7643504738807678,101,0.0,2.5,1.75,0.0,0.7393642663955688,0.17391520738601685,0.08672044426202774
16,0.7888571619987488,1.1243523359298706,0.7643504738807678,98,0.0,0.0,0.0,0.25,0.6953132152557373,0.2053566575050354,0.0993303656578064
17,0.7888571619987488,1.1347150802612305,0.7643504738807678,101,-2.0,2.5,0.0,0.0,0.706260085105896,0.19583186507225037,0.09790792316198349
18,0.7888571619987488,1.1321243047714233,0.7673715949058533,101,-1.0,2.5,0.5,0.0,0.7186806797981262,0.18758437037467957,0.093734972178936
19,0.7888571619987488,1.1450777053833008,0.7613292932510376,104,0.0,0.0,-1.0,0.0,0.6757304668426514,0.21613311767578125,0.10813645273447037
20,0.7888571619987488,1.1398963928222656,0.7613292932510376,103,0.0,0.0,-1.0,0.25,0.6708663702011108,0.2217588573694229,0.10737480968236923
